Year,Month,Journal,Journal Impact factor,Title,Commodity,Deposit type,Methodology,Title,Author,Public availability original dataset,Training/Application dataset type,Training vs Application dataset relationship,Training to application scope,url,_key
2021,November,Computers & Geosciences,Unknown,A positive and unlabeled learning algorithm for mineral prospectivity mapping,Unknown,"Skarn (Fe, Cu, W, Zn-Pb, Sn, Au-As-Cu)",supervised > tree-based > random forest; supervised > kernel-based > support vector machine; supervised > neural networks > feedforward neural network (MLP),A positive and unlabeled learning algorithm for mineral prospectivity mapping,"Yihui Xiong, Renguang Zuo",True,Geochemical anomalies; Unknown; Aeromagnetic anomalies; Unknown; Geological maps; Unknown,Different,Region A to Region B,https://doi.org/10.1016/j.cageo.2020.104667,computers  geosciences | yihui xiong renguang zuo | a positive and unlabeled learning algorithm for mineral prospectivity mapping
2022,October,Computers & Geosciences,Unknown,Mineral prospectivity mapping using a joint singularity-based weighting method and long short-term memory network,Unknown,VMS (Volcanogenic Massive Sulfide),supervised > deep learning > long short-term memory network (LSTM),Mineral prospectivity mapping using a joint singularity-based weighting method and long short-term memory network,"Ziye Wang, Renguang Zuo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.cageo.2021.104974,computers  geosciences | ziye wang renguang zuo | mineral prospectivity mapping using a joint singularity-based weighting method and long short-term memory network
2022,February,Computers & Geosciences,Unknown,Applications of data augmentation in mineral prospectivity prediction based on convolutional neural networks,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN),Applications of data augmentation in mineral prospectivity prediction based on convolutional neural networks,"Na Yang, Zhenkai Zhang, Jianhua Yang, Zenglin Hong",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.cageo.2022.105075,computers  geosciences | na yang zhenkai zhang jianhua yang zenglin hong | applications of data augmentation in mineral prospectivity prediction based on convolutional neural networks
2025,November,Computers & Geosciences,Unknown,Optimized AI-MPM: Application of PSO for tuning the hyperparameters of SVM and RF algorithms,Unknown,Porphyry Cu(-Mo-Au-Ag),supervised > tree-based > random forest; supervised > kernel-based > support vector machine; optimization/heuristic > metaheuristics > particle swarm optimization,Optimized AI-MPM: Application of PSO for tuning the hyperparameters of SVM and RF algorithms,"Mehrdad Daviran, Abbas Maghsoudi, Reza Ghezelbash",No,Geochemical signatures in stream sediments; Unknown; Geological and structural features; Unknown; Geophysical anomalies; Unknown; Hydrothermal alteration patterns; Unknown,Different,Region A to Region B,https://doi.org/10.1016/j.cageo.2024.105785,computers  geosciences | mehrdad daviran abbas maghsoudi reza ghezelbash | optimized ai-mpm application of pso for tuning the hyperparameters of svm and rf algorithms
2020,June,Ore Geology Reviews,Unknown,Modeling of Cu-Au prospectivity in the Carajás mineral province (Brazil) through machine learning: Dealing with imbalanced training data,Unknown,IOCG (Iron Oxide Copper-Gold),supervised > kernel-based > support vector machine; knowledge-driven > probabilistic > weights of evidence (WofE),Modeling of Cu-Au prospectivity in the Carajás mineral province (Brazil) through machine learning: Dealing with imbalanced training data,"Elias Martins Guerra Prado, Carlos Roberto de Souza Filho, Emmanuel John M. Carranza, João Gabriel Motta",True,"Airborne magnetic data; nT; Gamma-ray spectrometric data; eU, eTh; Gravity data; mGal; Geological map; Unknown",Different,Training to application scope: Training data from known mineralized locations to application in predicting prospective areas.,https://doi.org/10.1016/j.oregeorev.2020.103611,ore geology reviews | elias martins guerra prado carlos roberto de souza filho emmanuel john m carranza joão gabriel motta | modeling of cu-au prospectivity in the carajás mineral province brazil through machine learning dealing with imbalanced training data
2022,January,Ore Geology Reviews,Unknown,Mapping prospectivity for regolith-hosted REE deposits via convolutional neural network with generative adversarial network augmented data,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN); knowledge-driven > probabilistic > weights of evidence (WofE),Mapping prospectivity for regolith-hosted REE deposits via convolutional neural network with generative adversarial network augmented data,"Tong Li, Renguang Zuo, Xinfu Zhao, Kuidong Zhao",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2022.104693,ore geology reviews | tong li renguang zuo xinfu zhao kuidong zhao | mapping prospectivity for regolith-hosted ree deposits via convolutional neural network with generative adversarial network augmented data
2022,February,Ore Geology Reviews,Unknown,Application of maximum entropy for mineral prospectivity mapping in heavily vegetated areas of Greater Kurile Chain with Landsat 8 data,Unknown,Epithermal Au-Ag (HS/LS/IS),supervised > tree-based > random forest; supervised > tree-based > gradient boosting (GBDT); supervised > kernel-based > support vector machine; supervised > neural networks > feedforward neural network (MLP),Application of maximum entropy for mineral prospectivity mapping in heavily vegetated areas of Greater Kurile Chain with Landsat 8 data,"Sergei Shevyrev, Emmanuel John M. Carranza",True,Landsat 8 OLI data; Unknown; Mineral abundance images; Unknown,Different,Kunashir Island to Iturup Island,https://doi.org/10.1016/j.oregeorev.2022.104758,ore geology reviews | sergei shevyrev emmanuel john m carranza | application of maximum entropy for mineral prospectivity mapping in heavily vegetated areas of greater kurile chain with landsat 8 data
2022,April,Ore Geology Reviews,Unknown,Ensemble learning models with a Bayesian optimization algorithm for mineral prospectivity mapping,Unknown,Hydrothermal,supervised > tree-based > gradient boosting (XGBoost); supervised > tree-based > random forest,Ensemble learning models with a Bayesian optimization algorithm for mineral prospectivity mapping,"Jiangning Yin, Nan Li",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2022.104916,ore geology reviews | jiangning yin nan li | ensemble learning models with a bayesian optimization algorithm for mineral prospectivity mapping
2023,March,Ore Geology Reviews,Unknown,Mineral prospectivity mapping using attention-based convolutional neural network,Unknown,Unknown,supervised > deep learning > convolutional neural network (CNN); supervised > deep learning > attention-based model,Mineral prospectivity mapping using attention-based convolutional neural network,"Quanke Li, Guoxiong Chen, Lei Luo",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2023.105381,ore geology reviews | quanke li guoxiong chen lei luo | mineral prospectivity mapping using attention-based convolutional neural network
2023,July,Ore Geology Reviews,Unknown,"Mineral prospectivity mapping based on Support vector machine and Random Forest algorithm – A case study from Ashele copper–zinc deposit, Xinjiang, NW China",Unknown,VMS (Volcanogenic Massive Sulfide),supervised > tree-based > random forest; supervised > kernel-based > support vector machine,"Mineral prospectivity mapping based on Support vector machine and Random Forest algorithm – A case study from Ashele copper–zinc deposit, Xinjiang, NW China","Chaojie Zheng, Feng Yuan, Xianrong Luo, Xiaohui Li, Panfeng Liu, Meilan Wen, Zesu Chen, Stefano Albanese",Unknown,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.oregeorev.2023.105567,ore geology reviews | chaojie zheng feng yuan xianrong luo xiaohui li panfeng liu meilan wen zesu chen stefano albanese | mineral prospectivity mapping based on support vector machine and random forest algorithm  a case study from ashele copperzinc deposit xinjiang nw china
